dataset_id,dataset_name,family,srsd_variant,algorithm,train_nmse,valid_nmse,id_nmse,ood_nmse
g0001,feynman-iii.15.12,srsd,medium dummy,drsr,9.309367244232915e+97,5.240412356582742e+97,2.2429389689741032e+98,8.920169963472895e+94
g0001,feynman-iii.15.12,srsd,medium dummy,dso,0.8384250828663344,0.818903975570823,1.0330123702367064,0.8651486375606309
g0001,feynman-iii.15.12,srsd,medium dummy,gplearn,1.0,1.0,1.0,1.0
g0001,feynman-iii.15.12,srsd,medium dummy,llmsr,2.055653322047672e+106,1.1571648639197415e+106,4.9527590574182356e+106,1.9697110424832798e+103
g0001,feynman-iii.15.12,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0001,feynman-iii.15.12,srsd,medium dummy,pysr,1.2464334989871335e+242,7.373030371949214e+241,2.7485532995436865e+242,6.024884605654827e+239
g0001,feynman-iii.15.12,srsd,medium dummy,tpsr,3.7573503442566576e+22,1.9930509945895607e+22,9.775099846347751e+22,3.649855889254063e+19
g0002,feynman-iii.15.14,srsd,medium dummy,drsr,1.5134395715606734e+73,1.419625746350137e+73,1.5753573279763504e+73,1.5911917615161264e+78
g0002,feynman-iii.15.14,srsd,medium dummy,dso,0.9795977390912016,0.9811577970564944,0.9830248226848032,21.027300177792693
g0002,feynman-iii.15.14,srsd,medium dummy,gplearn,1.0,5.075572056502223e+67,5.848776691467217e+67,5.606984304348295e+71
g0002,feynman-iii.15.14,srsd,medium dummy,llmsr,3.3605109174487378e+81,3.1522022819747658e+81,3.4979958845813586e+81,3.5331536939421975e+86
g0002,feynman-iii.15.14,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0002,feynman-iii.15.14,srsd,medium dummy,pysr,1.0,1.0,1.0,1.0
g0002,feynman-iii.15.14,srsd,medium dummy,tpsr,1.5265911964769455e+45,1.3385468153854043e+45,1.5450508511069094e+45,1.3160233182997642e+49
g0003,feynman-ii.11.20,srsd,hard non-dummy,drsr,4709934864.679041,21032266114.110035,37586032372.40695,10.542106510638677
g0003,feynman-ii.11.20,srsd,hard non-dummy,dso,0.8790999594047606,1.201382887132903,1.0693576065712986,1.0000532339501067
g0003,feynman-ii.11.20,srsd,hard non-dummy,gplearn,0.7662151826949192,0.6402894190784532,0.5302932711860563,0.9968116377250178
g0003,feynman-ii.11.20,srsd,hard non-dummy,llmsr,1.0458157062011172e+18,4.67010404735034e+18,8.345780630898817e+18,2102190938.5791423
g0003,feynman-ii.11.20,srsd,hard non-dummy,pyoperon,1.559539966834198,1.0617678620156157,1.1133522098536983,0.999998882708623
g0003,feynman-ii.11.20,srsd,hard non-dummy,pysr,0.0477364399453307,0.1542651499463047,0.2221723488153517,37.698813821911166
g0003,feynman-ii.11.20,srsd,hard non-dummy,tpsr,0.9802386212894484,0.9536613150952808,0.9396038585907144,0.999998625019036
g0004,feynman-iii.12.43,srsd,easy dummy,drsr,1.472008431533256e+70,1.489629580012284e+70,1.4459206416854168e+70,4.660643323369084e+73
g0004,feynman-iii.12.43,srsd,easy dummy,dso,0.6804191392458309,0.7028100725662677,0.685035867456173,1.1020078233663448
g0004,feynman-iii.12.43,srsd,easy dummy,gplearn,1.0,1.0,1.0,1.0
g0004,feynman-iii.12.43,srsd,easy dummy,llmsr,9.728774665174205e+78,9.855526627345442e+78,9.57816326626126e+78,3.076804780394905e+82
g0004,feynman-iii.12.43,srsd,easy dummy,pyoperon,1.0,1.0,1.0,1.0
g0004,feynman-iii.12.43,srsd,easy dummy,pysr,24.57688928463181,25.407619395280168,22.590974020336443,199.6146717525343
g0004,feynman-iii.12.43,srsd,easy dummy,tpsr,1.7577467656622714e+49,1.7255306079797818e+49,1.7950032144902288e+49,4.512177440696518e+49
g0005,feynman-ii.11.27,srsd,hard non-dummy,drsr,2.4821981211962547e+55,4.3533044042613247e+55,3.074144656533845e+55,1.9815934812881035e+53
g0005,feynman-ii.11.27,srsd,hard non-dummy,dso,0.6539266254570996,1.0319259463567003,0.9108808566451956,0.1359796014109121
g0005,feynman-ii.11.27,srsd,hard non-dummy,gplearn,9.415118868946173e+35,1.0,1.0,1.0
g0005,feynman-ii.11.27,srsd,hard non-dummy,llmsr,5.511599569283416e+63,9.666299589478988e+63,6.825987909784254e+63,4.4000314427838627e+61
g0005,feynman-ii.11.27,srsd,hard non-dummy,pyoperon,1.0,1.0,1.0,1.0
g0005,feynman-ii.11.27,srsd,hard non-dummy,pysr,9.92881510657819e+79,1.7413257291695403e+80,1.2296606642778583e+80,7.926391986457765e+77
g0005,feynman-ii.11.27,srsd,hard non-dummy,tpsr,0.9244031723797336,0.9089749512663589,0.9248371344192547,0.986818010675274
g0006,feynman-ii.11.27,srsd,hard dummy,drsr,3.651266161911009e+79,6.403627820459413e+79,4.522008243836789e+79,2.90589675805927e+77
g0006,feynman-ii.11.27,srsd,hard dummy,dso,0.8514221446768875,0.7122126792572497,0.8739213884274238,0.1449642848111385
g0006,feynman-ii.11.27,srsd,hard dummy,gplearn,1.0,1.0,1.0,1.0
g0006,feynman-ii.11.27,srsd,hard dummy,llmsr,9.8441525113729e+75,1.7264747237877274e+76,1.219170246121848e+76,7.8390670574449e+73
g0006,feynman-ii.11.27,srsd,hard dummy,pyoperon,1.0,1.0,1.0,1.0
g0006,feynman-ii.11.27,srsd,hard dummy,pysr,9.9288151565914e+79,1.7413257248732277e+80,1.2296606710845488e+80,7.901947022073025e+77
g0006,feynman-ii.11.27,srsd,hard dummy,tpsr,0.9240988223020276,0.9166370522202636,0.9277115806673606,0.9849632809269492
