dataset_id,global_index,dataset_name,family,subgroup,selection_mode,candidate_advantage_side,method_total,valid_method_count,valid_methods,missing_or_invalid_methods,mean_valid_nmse,median_valid_nmse,mean_id_nmse,median_id_nmse,mean_ood_nmse,median_ood_nmse,mean_log10_id_nmse,median_log10_id_nmse,mean_log10_ood_nmse,median_log10_ood_nmse,mean_id_r2,median_id_r2,mean_ood_r2,median_ood_r2,mean_runtime,median_runtime,mean_complexity,median_complexity,mean_expression_chars,status_ok,status_timed_out,timeout_budget_exhausted_with_output,timeout_partial_output,timeout_no_valid_output,timeout_not_timeout
g0013,13,feynman-bonus.20,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.537897e+111,1,9.600941e+110,1,5.918628e+111,1,32.0804,0,32.1698,0,-9.802726e+110,-0.0210172,-5.958309e+111,-0.00670446,3137.79,3608.1,8.71429,8,266.286,2,5,5,0,0,2
g0014,14,feynman-i.14.4,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.654000e+42,1.001,3.412028e+42,1.00114,3.201589e+41,1.00176,15.8676,0.000494901,15.731,0.000764946,-3.773641e+42,-0.107243,-2.450614e+43,-75.6786,3137.85,3608.25,55.1429,17,922.286,2,5,5,0,0,2
g0015,15,feynman-i.41.16,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.342505e+74,2.882414e+61,1.102476e+74,2.153848e+61,3.549786e+72,1.239525e+59,45.7742,61.3332,44.4551,59.0933,-1.218611e+74,-2.380735e+61,-1.010134e+74,-3.527219e+60,3135.45,3606.45,5.57143,1,239.714,2,5,5,0,0,2
g0016,16,first_principles_newton,srbench2025,srbench2025/firstprinciples,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,4.755656e+55,0.042847,1.389672e+55,0.00210065,2.693778e+53,0.0312591,12.5946,-2.67765,12.3313,-1.50502,-2.172576e+58,-2.2841,-4.275438e+54,0.50387,2828.46,3606.01,41,11,419.286,3,4,4,0,0,3
g0017,17,feynman-ii.11.28,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,8.772631e+31,1.001868e-14,8.715365e+31,7.759776e-15,1.010171e+33,1.506022e-12,-4.21388,-14.1102,-2.35369,-11.8222,-1.129576e+46,-0.00572419,-2.704308e+46,-39.3174,2383.77,3603.86,10.7143,8,257.571,4,3,3,0,0,4
g0018,18,feynman-i.38.12,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,3.733804e+80,5.484939e+52,3.472638e+80,5.177600e+52,1.825412e+85,1.980270e+57,44.6151,52.7141,48.0298,57.2967,-3.832258e+80,-5.713782e+52,-1.843805e+85,-2.000223e+57,3136.05,3607.8,10.7143,11,275.143,2,5,5,0,0,2
g0019,19,feynman-ii.15.5,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.236439e+64,4.949377e+40,1.901326e+64,4.274255e+40,1.907439e+59,1.510720e+35,37.0678,40.6309,33.3634,35.1792,-1.902162e+64,-4.276135e+40,-1.911598e+59,-1.514014e+35,3136.23,3607.6,9.85714,12,279.286,2,5,5,0,0,2
g0020,20,feynman-i.29.4,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.369141e+40,0.590954,1.120881e+40,0.575478,1.215557e+40,0.650535,8.13511,-0.239972,8.07108,-0.18673,-1.950943e+40,-0.00164441,-1.109264e+42,-58.365,3136.23,3607.59,97.8571,11,640.143,2,5,5,0,0,2
g0021,21,feynman-i.14.3,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.974781e+21,0.0312384,7.145010e+21,0.0310143,2.079791e+24,0.0173004,1.44368,-1.50844,-0.132906,-1.76194,-7.145031e+21,0.968986,-2.842783e+26,-1.36473,3136.4,3607.65,15.5714,14,301.714,2,5,5,0,0,2
g0022,22,feynman-ii.11.20,srsd,srsd/srsd-feynman_hard_dummy,strict,llmsr,7,6,drsr;dso;gplearn;llmsr;pyoperon;pysr,tpsr,1.414363e+55,1.257534e+10,1.878518e+55,2.234869e+10,3.162120e+95,1.184914e+21,16.218,5.33428,28.4292,12.0054,-1.878562e+55,-2.234922e+10,-3.172988e+95,-1.188987e+21,3055.4,3605.93,716.833,20,3884.33,2,5,4,1,0,2
g0023,23,feynman-i.34.27,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.894414e+105,1.016209e+80,2.297210e+105,8.065347e+79,2.530273e+105,8.883625e+79,56.3937,79.9066,56.0835,79.9486,-4.020972e+105,-1.411736e+80,-2.466666e+107,-8.660303e+81,3136.23,3607.63,11.8571,14,287.714,2,5,5,0,0,2
g0024,24,feynman-iii.13.18,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.731752e+40,0.999159,2.700490e+40,1.00055,1.045394e+41,1.00002,8.52766,0.000238133,9.08707,9.128184e-06,-2.701414e+40,-0.000890833,-1.049593e+41,-0.00403791,3136.33,3607.57,68.1429,17,834.714,2,5,5,0,0,2
g0025,25,feynman-bonus.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pyoperon;pysr,tpsr,1.544417e+48,0.252914,1.955495e+48,0.252777,7.363937e+50,5.24231,15.4056,-0.598271,17.2041,0.683742,-4.203415e+48,0.456646,-1.376870e+51,-8.8018,3055.08,3605.38,120,21.5,1417,2,5,4,0,1,2
g0026,26,feynman-bonus.4,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.236811e+275,0.281266,5.414363e+275,0.269968,3.675521e+280,8.6677,51.7726,-0.568688,54.0405,0.937904,-1.163839e+276,0.419693,-1.269936e+281,-28.9479,3134.09,3604.09,56,18,492.429,2,5,5,0,0,2
g0027,27,feynman-iii.17.37,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,8.941671e+66,1,8.100306e+66,1,7.837794e+66,1,-66.3777,0,11.2477,0,-1.400899e+67,-0.72944,-9.319933e+68,-117.91,2629.05,3606.15,11.7143,17,301.857,3,4,4,0,0,3
g0028,28,feynman-i.18.16,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.259483e+25,0.947961,1.304034e+25,0.939637,3.321052e+28,0.997631,2.09843,-0.0270401,-1.47102,-0.00103019,-1.308167e+25,0.0573852,-3.321208e+28,0.00232234,3135.34,3606.7,15.8571,8,336.714,2,5,5,0,0,2
g0029,29,feynman-ii.34.11,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,3.552980e+23,1,1.591013e+23,1.00001,3.336828e+21,1.00028,3.73674,3.260008e-06,1.42108,0.000123106,-1.591214e+23,-0.000133931,-3.339121e+21,-0.00097087,3135.88,3608.53,545.714,23,8358.43,2,5,5,0,0,2
g0030,30,feynman-bonus.8,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,3.066882e+28,1.00013,2.704867e+28,1.00074,7.181896e+27,2.614,6.07839,0.000322623,5.69767,0.417305,-4.653368e+28,-0.721647,-3.457562e+29,-124.845,2629.23,3608.03,5.85714,3,233.143,3,4,4,0,0,3
g0031,31,feynman-i.30.5,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.030067e+64,1,1.265198e+62,1,7.780391e+61,1.00001,16.3528,7.212621e-10,17.1686,4.280712e-06,-1.272632e+62,-0.0058753,-7.797993e+61,-0.00227225,2752.71,3607.93,9.85714,9,306.286,3,4,4,0,0,3
g0032,32,feynman-i.41.16,srsd,srsd/srsd-feynman_hard_dummy,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.579662e+122,1.611116e+74,1.348667e+122,1.351085e+74,9.264954e+124,1.143120e+72,63.686,74.1307,64.316,72.0581,-1.490737e+122,-1.493409e+74,-2.745594e+126,-3.387542e+73,3134.15,3605.6,17,10,365,2,5,5,0,0,2
g0033,33,feynman-iii.4.33,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,6.229372e+42,4.263196e+34,9.693244e+42,5.814700e+34,8.629945e+42,4.135023e+33,22.1014,34.7645,21.7209,33.6165,-1.694908e+43,-1.016727e+35,-7.693704e+44,-3.686425e+35,2875.21,3601.97,8.85714,8,246.571,3,4,4,0,0,3
g0034,34,feynman-iii.4.33,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.502429e+45,9.128867e+34,1.504287e+45,1.292165e+35,1.504887e+45,1.158357e+35,27.5103,35.1113,27.8962,35.0638,-2.630315e+45,-2.259410e+35,-1.329862e+47,-1.023635e+37,3127.71,3602.47,11.4286,9,294.429,3,4,4,0,0,3
g0035,35,feynman-i.37.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.037794e+42,0.533796,2.298427e+42,0.515679,5.130565e+41,0.592112,10.8523,-0.28762,10.708,-0.227596,-4.465287e+42,-0.00183994,-5.677787e+43,-64.5266,3133.82,3604.65,13,14,298.286,2,5,5,0,0,2
g0036,36,feynman-ii.37.1,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,8.732818e+42,1,1.176342e+43,1,4.169365e+37,1,11.2022,0,6.18096,3.606118e-07,-1.176343e+43,-1.042927e-06,-4.171870e+37,-0.000601786,2898.23,3604.88,12.4286,13,314.286,3,4,4,0,0,3
g0037,37,PO14,llm-srbench,llm-srbench/phys_osc,strict,llmsr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,5.000046e+33,1.00512,4.085265e+33,0.996966,1.197731e+38,1.19282,4.84617,-0.00131956,5.56619,0.0765745,-4.092848e+33,0.00118333,-1.846713e+38,-0.83914,2882.54,3604.34,14.7143,11,301.286,3,4,4,0,0,3
g0038,38,feynman-i.44.4,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,2.381714e+35,0.861364,2.001973e+35,0.943967,2.550784e+35,3.22638,10.1969,-0.0250433,10.8483,0.508716,-2.002471e+35,0.0557986,-2.551218e+35,-2.22693,3133.87,3604.65,537.571,20,2594.71,2,5,5,0,0,2
g0039,39,feynman-ii.11.3,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;gplearn;llmsr;pyoperon;pysr,tpsr,1.312050e+34,1.12686,5.131423e+36,55.5617,2.515266e+44,1.871434e+05,9.19275,1.49178,12.9062,4.69962,-5.138501e+36,-54.6383,-2.515394e+44,-1.871519e+05,3055.08,3604.63,14.3333,20,343.5,2,5,4,0,1,2
g0040,40,feynman-bonus.16,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,7.774788e+36,0.66176,9.004510e+36,0.671927,2.057061e+34,0.987564,9.19238,-0.172678,8.63208,-0.00543491,-1.249296e+37,0.0677608,-1.000861e+35,-3.80498,3133.65,3604.73,101.571,20,1447.57,2,5,5,0,0,2
g0041,41,feynman-bonus.11,srsd,srsd/srsd-feynman_hard_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,4.512678e+25,0.0612904,4.075458e+25,0.0529715,2.504764e+29,0.0592734,-0.190573,-1.27596,-2.29186,-1.22714,-5.252513e+25,0.931729,-4.920683e+29,0.883556,2770.35,3604.52,18,7,375.286,3,4,4,0,0,3
g0042,42,feynman-bonus.5,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,,1.189501e+31,0.237124,1.266383e+31,0.284496,1.515972e+32,2.52588,4.85614,-0.545924,5.66625,0.402412,-1.586951e+31,0.643487,-7.318544e+33,-120.94,3133.33,3603.47,1351.14,25,6053.14,2,5,5,0,0,2
