scope,batch,dataset,baseline,id_rmse_improvement_percent,ood_rmse_improvement_percent,drsr_id_rmse,baseline_id_rmse,drsr_ood_rmse,baseline_ood_rmse
best_of_two,,stressstrain,llmsr_200gen,21.9961,19.6352,0.0433494665,0.0555734593,0.0401321623,0.0499374750
best_of_two,,stressstrain,pysr_200gen,19.6950,25.9346,0.0433494665,0.0539810568,0.0401321623,0.0541847773
paired,rerun200_llm_drsr_20260405_150543,stressstrain,llmsr_200gen,22.4225,67.3150,0.0433494665,0.0558788980,0.0401904881,0.1229632315
paired,rerun200_llm_drsr_20260405_150543,stressstrain,pysr_200gen,25.9277,41.0179,0.0433494665,0.0585231917,0.0401904881,0.0681401524
paired,rerun200_llm_drsr_20260406_111429,stressstrain,llmsr_200gen,13.3644,19.6352,0.0481463838,0.0555734593,0.0401321623,0.0499374750
paired,rerun200_llm_drsr_20260406_111429,stressstrain,pysr_200gen,10.8087,25.9346,0.0481463838,0.0539810568,0.0401321623,0.0541847773
