tool,dataset,runs,source,candidate_count_mean,success_count_mean,best_ted_mean,best_ted_std,mean_ted_mean,mean_ted_std
drsr,oscillator1,3,top10,10.0,10.0,19.333333333333332,5.185449728701348,22.633333333333336,1.1323525167642015
llmsr,oscillator1,3,top10,10.0,9.666666666666666,13.333333333333334,1.699673171197595,18.074074074074073,3.005034641424142
pysr,oscillator1,3,best_only,1.0,1.0,32.0,5.715476066494082,32.0,5.715476066494082
drsr,oscillator2,3,top10,10.0,10.0,22.333333333333332,3.299831645537222,25.266666666666666,2.3669013968102317
llmsr,oscillator2,3,top10,10.0,10.0,25.333333333333332,1.699673171197595,29.7,1.9815818596935806
pysr,oscillator2,3,best_only,1.0,1.0,26.333333333333332,4.714045207910316,26.333333333333332,4.714045207910316
drsr,stressstrain,3,top10,10.0,10.0,35.666666666666664,2.8674417556808756,39.733333333333334,1.635712552851372
llmsr,stressstrain,3,top10,10.0,9.666666666666666,33.666666666666664,11.67142760000773,53.58518518518519,6.9791006845354655
pysr,stressstrain,3,best_only,1.0,1.0,19.333333333333332,2.0548046676563256,19.333333333333332,2.0548046676563256
