tool,dataset,runs,candidate_count_mean,best_ted_mean,best_ted_std,mean_ted_mean,mean_ted_std,best_ned_mean,best_ned_std,mean_ned_mean,mean_ned_std,symbolic_solution_rate_mean
drsr,oscillator1,3,10.0,19.333333333333332,5.185449728701348,22.633333333333336,1.1323525167642015,0.8055555555555557,0.2160604053625562,0.9333333333333335,0.04762896722078412,0.0
llmsr,oscillator1,3,1.0,25.5,3.5,25.5,3.5,0.9583333333333333,0.041666666666666685,0.9583333333333333,0.041666666666666685,0.0
pysr,oscillator1,3,1.0,32.0,5.715476066494082,32.0,5.715476066494082,1.0,0.0,1.0,0.0,0.0
drsr,oscillator2,3,10.0,22.333333333333332,3.299831645537222,24.96666666666667,2.510422717835031,0.9682539682539683,0.022447834323382487,0.9928571428571429,0.005143444998736379,0.0
llmsr,oscillator2,3,1.0,38.0,0.0,38.0,0.0,1.0,0.0,1.0,0.0,0.0
pysr,oscillator2,3,1.0,26.333333333333332,4.714045207910316,26.333333333333332,4.714045207910316,1.0,0.0,1.0,0.0,0.0
drsr,stressstrain,3,10.0,37.0,2.0,38.94444444444444,0.055555555555557135,1.0,0.0,1.0,0.0,0.0
llmsr,stressstrain,3,1.0,50.0,0.0,50.0,0.0,1.0,0.0,1.0,0.0,0.0
pysr,stressstrain,3,1.0,19.333333333333332,2.0548046676563256,19.333333333333332,2.0548046676563256,0.9649122807017544,0.049621528504319126,0.9649122807017544,0.049621528504319126,0.0
