method,has_expression,has_full_metrics,result_status_ok,result_status_timed_out,status_ok,status_timed_out,timeout_type_budget_exhausted_with_output,timeout_type_no_valid_output,timeout_type_not_timeout,timeout_type_partial_output,total,valid_output,valid_output_rate
drsr,200,200,0,200,0,200,200,0,0,0,200,200,1.0
dso,200,198,27,173,27,173,171,0,27,2,200,198,0.99
gplearn,200,200,0,200,0,200,200,0,0,0,200,200,1.0
llmsr,200,200,199,1,199,1,1,0,199,0,200,200,1.0
pyoperon,200,195,200,0,200,0,0,0,200,0,200,195,0.975
pysr,200,197,0,200,0,200,197,0,0,3,200,197,0.985
tpsr,198,195,36,164,36,164,159,2,36,3,200,195,0.975
